Latitude,Longitude,LocationName
51.6458,-0.4791,St Albans
51.5079,-0.3362,Harrow
51.4060,-0.0084,Greenwich
51.3904,-0.2986,Sutton
51.6919,-0.0200,Chingford
52.1917,0.1372,Ely
51.6736,0.8082,Southend-on-Sea
51.3360,1.4200,Margate
50.9110,-1.4043,Eastleigh
51.7630,-0.2226,Watford
50.8198,-1.0873,Portsmouth
52.0586,1.1482,Ipswich
53.3417,-2.7318,Runcorn
51.4390,-2.5890,Keynsham
51.8172,-1.4837,Abingdon
52.0740,-4.3082,Cardigan
51.7633,-3.8161,Merthyr Tydfil
52.0417,-0.7558,Milton Keynes
53.3077,-3.4916,Prestatyn
52.7721,-0.3652,Bourne
54.5189,-1.5550,Darlington
51.3011,-0.7076,Farnborough
52.6298,-2.4969,Bridgnorth
51.4766,-0.4525,Hounslow
52.0592,-1.3439,Banbury
53.3833,-3.0333,Hoylake
53.6840,-1.5059,Wakefield
54.6000,-5.9167,Newtownabbey
53.1667,-2.5333,Congleton
52.2667,-0.8833,Wellingborough
50.8526,0.5722,Hastings
51.3151,0.5600,Maidstone
54.2300,-0.7800,Malton
53.2333,-4.1333,Llangefni
52.5833,-2.0833,Dudley
52.3500,-0.7167,Rushden
50.8429,-0.1313,Brighton
51.6436,-3.2350,Pontypridd
50.7184,-3.5339,Exeter
52.1920,-2.2200,Worcester
51.2099,-0.7983,Alton
53.6442,-2.6297,Chorley
52.8131,-1.6365,Ashby-de-la-Zouch
50.7256,-1.8680,Christchurch
54.1451,-4.4819,Douglas
54.9044,-1.3822,Sunderland
51.6677,-0.6203,High Wycombe
53.7667,-2.7000,Accrington
53.8300,-1.5800,Pudsey
53.3500,-2.1000,Altrincham
53.5774,-0.0780,Scunthorpe
54.2000,-2.6000,Kendal
53.4220,-3.0500,Formby
53.3833,-1.3333,Rotherham
53.9667,-1.0833,York
52.3333,-0.0833,Huntingdon
53.0000,-1.1667,Mansfield
52.7300,-1.3600,Loughborough
51.1800,0.2700,Tonbridge
53.2000,-2.9000,Chester
54.5700,-1.2300,Hartlepool
53.6167,-2.1500,Rochdale
54.3333,-6.4167,Armagh
51.3000,0.7167,Faversham
54.3141,-5.7191,Downpatrick
53.0500,-0.8000,Newark-on-Trent
51.3849,-0.5300,Epsom
52.8167,-1.0833,Syston
52.6821,-2.4493,Wellington
50.7952,-1.0884,Gosport
54.2833,-0.4000,Scarborough
53.7167,-2.4667,Burnley
54.9700,-1.6000,Gateshead
51.5833,-0.3333,Barnet
51.3833,-0.7667,Camberley
52.6500,-0.5000,Stamford
54.1474,-3.2481,Barrow-in-Furness
53.3000,-1.5000,Chesterfield
51.5000,-3.1833,Penarth
53.1333,-2.3667,Crew
